"","x"
"1","5"
"2","37"
"3","11"
"4","4"
"5","46"
"6","93"
"7","215"
"8","167"
"9","94"
"10","235"
"11","200"
"12","211"
"13","156"
"14","230"
"15","139"
"16","153"
"17","125"
"18","86"
"19","18"
"20","74"
"21","8"
"22","31"
"23","53"
"24","182"
"25","6"
"26","98"
"27","55"
"28","43"
"29","62"
"30","130"
"31","20"
"32","39"
"33","59"
"34","186"
"35","170"
"36","155"
"37","119"
"38","21"
"39","166"
"40","16"
"41","81"
"42","157"
"43","223"
"44","104"
"45","23"
"46","214"
"47","48"
"48","13"
"49","220"
"50","218"
"51","162"
"52","26"
"53","29"
"54","34"
"55","175"
"56","84"
"57","80"
"58","115"
"59","248"
"60","184"
"61","32"
"62","106"
"63","113"
"64","208"
"65","38"
"66","12"
"67","77"
"68","97"
"69","171"
"70","185"
"71","36"
"72","134"
"73","136"
"74","51"
"75","101"
"76","203"
"77","161"
"78","96"
"79","236"
"80","149"
"81","228"
"82","79"
"83","10"
"84","33"
"85","27"
"86","189"
"87","122"
"88","127"
"89","50"
"90","173"
"91","159"
"92","163"
"93","249"
"94","147"
"95","201"
"96","246"
"97","24"
"98","240"
"99","57"
"100","7"
"101","117"
"102","128"
"103","145"
"104","19"
"105","65"
"106","47"
"107","41"
"108","30"
"109","78"
"110","73"
"111","242"
"112","105"
"113","87"
"114","123"
"115","190"
"116","217"
"117","165"
"118","22"
"119","216"
"120","116"
"121","142"
"122","187"
"123","237"
"124","49"
"125","199"
"126","129"
"127","213"
"128","108"
"129","64"
"130","158"
"131","204"
"132","183"
"133","169"
"134","91"
"135","9"
"136","222"
"137","152"
"138","172"
"139","151"
"140","148"
"141","196"
"142","243"
"143","56"
"144","225"
"145","52"
"146","126"
"147","54"
"148","89"
"149","67"
"150","76"
"151","69"
"152","137"
"153","112"
"154","238"
"155","95"
"156","197"
"157","247"
"158","124"
"159","146"
"160","198"
"161","83"
"162","180"
"163","234"
"164","164"
"165","88"
"166","102"
"167","188"
"168","110"
"169","224"
"170","227"
"171","174"
"172","114"
"173","194"
"174","245"
"175","140"
"176","241"
"177","82"
"178","118"
"179","109"
"180","177"
"181","68"
"182","70"
"183","154"
"184","231"
"185","210"
"186","232"
"187","63"
"188","25"
"189","206"
"190","61"
"191","233"
"192","17"
"193","226"
"194","195"
"195","178"
"196","138"
"197","205"
"198","99"
"199","141"
"200","239"
"201","207"
"202","15"
"203","45"
"204","107"
"205","14"
"206","58"
"207","92"
"208","132"
"209","193"
"210","181"
"211","0"
"212","90"
"213","71"
"214","191"
"215","176"
"216","42"
"217","35"
"218","44"
"219","143"
"220","85"
"221","179"
"222","121"
"223","219"
"224","100"
"225","212"
"226","40"
"227","160"
"228","75"
"229","221"
"230","209"
"231","60"
"232","103"
"233","66"
"234","202"
"235","131"
"236","244"
"237","28"
"238","133"
"239","229"
"240","168"
"241","135"
"242","144"
"243","150"
"244","72"
"245","3"
"246","120"
"247","111"
"248","192"
"249","2"
"250","1"
