"ancestor1","ancestor2","ancestor3","ancestor4","ancestor5","ancestor6","ancestor7","ancestor8","ancestor9","ancestor10","ancestor11","ancestor12","ancestor13"
21,53,69,65,95,134,138,143,251,97,65,57,58
19,49,61,65,85,106,98,130,166,76,61,52,47
19,38,52,63,78,94,97,125,141,67,51,50,46
18,33,52,61,75,92,96,119,118,63,48,49,41
17,31,47,60,73,88,93,99,118,53,44,49,41
17,31,47,58,63,83,90,96,113,47,43,47,36
17,30,45,57,59,81,88,94,84,47,41,46,34
17,30,41,56,57,74,87,93,84,44,41,43,33
17,30,38,53,56,73,81,87,81,44,40,38,31
17,28,37,51,55,71,80,86,77,43,39,37,30
15,28,36,49,51,68,76,83,72,42,39,36,28
15,28,36,48,50,66,75,76,69,39,38,36,27
15,28,34,47,50,64,72,75,63,39,36,35,27
14,27,33,47,50,60,72,75,62,38,35,35,27
13,27,33,45,49,57,72,64,59,38,34,34,27
13,27,32,42,48,56,72,64,59,36,34,34,27
13,27,31,42,47,55,69,63,58,35,34,34,26
13,26,31,38,46,53,66,61,58,34,31,33,25
12,24,31,37,45,53,66,59,55,33,31,33,25
12,24,31,37,45,53,65,58,55,32,30,32,24
12,23,30,36,41,52,64,54,52,32,29,32,24
12,23,29,36,40,52,63,54,51,32,28,32,23
12,23,29,35,38,49,63,54,50,31,28,32,23
12,23,28,35,38,48,62,54,47,31,28,32,23
12,22,28,35,37,43,60,52,45,31,28,32,22
12,22,28,34,37,43,59,50,43,31,27,31,21
12,22,27,34,37,42,55,49,42,30,26,31,21
12,21,27,33,37,41,52,49,41,29,26,31,21
11,21,27,33,37,41,52,48,41,28,25,30,20
11,21,27,33,36,41,51,46,40,28,25,30,20
11,20,26,33,35,40,49,46,40,28,24,30,20
11,20,25,33,35,40,46,46,39,28,24,30,20
11,20,25,33,34,39,46,44,39,28,24,29,20
11,20,24,32,33,39,45,44,39,28,23,28,19
11,20,24,31,33,39,44,44,38,27,23,28,19
10,20,23,30,33,39,43,44,36,27,23,28,19
10,20,22,30,33,38,42,44,36,27,22,28,19
10,20,22,29,32,38,41,43,36,27,22,28,19
10,20,22,29,31,38,41,43,35,26,22,27,19
10,19,21,29,30,36,40,42,35,26,22,27,18
10,19,21,29,29,35,38,41,33,26,22,27,18
10,19,21,28,29,35,37,41,33,26,22,27,18
9,19,20,28,29,34,36,40,33,26,22,27,18
9,19,20,28,29,31,36,40,33,25,22,27,17
9,18,20,28,29,31,35,39,33,25,22,26,17
9,18,20,28,29,31,34,39,32,25,22,26,17
9,18,20,27,28,30,34,39,32,24,22,26,17
9,18,19,27,28,30,33,39,31,24,21,25,17
9,18,19,27,28,30,33,38,31,24,21,25,16
9,18,19,27,27,30,32,38,31,24,20,24,16
9,17,19,26,27,29,32,38,30,23,20,24,16
9,17,18,26,27,29,32,38,30,23,20,24,16
9,17,18,26,27,29,31,37,30,23,20,24,16
9,17,18,26,27,29,31,37,29,23,20,24,16
9,17,17,25,26,28,30,36,28,22,20,24,16
8,17,17,25,26,28,30,33,28,22,20,24,16
8,17,17,24,26,28,30,32,28,22,19,24,16
8,17,17,24,26,28,30,32,28,21,19,23,16
8,16,17,24,25,28,29,31,26,21,18,23,16
8,16,17,24,25,27,29,31,26,21,18,23,16
8,16,17,24,24,27,29,30,25,21,18,22,16
8,15,17,24,24,27,28,30,25,20,18,22,16
8,15,16,24,24,26,28,30,24,20,18,22,16
8,15,16,24,24,26,28,30,24,20,18,22,16
8,15,16,24,24,25,28,30,23,20,18,22,16
8,15,15,23,24,25,27,29,23,20,18,22,15
8,15,15,23,24,24,27,29,23,20,18,21,15
8,14,15,23,23,24,27,28,22,20,18,21,15
8,14,15,23,23,24,26,28,22,19,18,21,15
8,13,15,22,23,24,26,28,22,19,18,21,15
8,13,15,22,23,24,25,27,22,19,17,21,15
8,13,15,22,23,24,25,27,21,19,17,21,15
8,13,14,22,22,24,25,26,21,19,17,21,15
8,13,14,22,22,24,25,26,21,19,17,21,15
8,13,14,21,22,23,25,25,21,19,17,21,15
8,13,14,21,22,23,24,24,21,18,17,21,14
8,13,14,21,22,22,24,24,21,18,17,21,14
8,13,14,20,21,22,24,24,21,18,17,20,14
7,13,14,20,21,22,23,24,20,18,16,20,14
7,13,14,20,21,22,23,24,20,18,16,20,14
7,13,14,19,21,21,23,23,20,18,16,20,14
7,13,14,19,21,21,22,23,20,17,16,20,14
7,12,14,19,21,20,22,23,20,17,16,20,14
7,12,14,19,20,20,22,21,19,17,16,20,14
7,12,14,19,20,20,22,21,19,17,16,20,14
7,12,14,19,20,20,21,21,19,17,16,20,14
7,12,13,19,20,20,21,21,19,17,15,19,14
7,12,13,18,20,19,21,20,18,17,15,19,14
7,12,13,18,20,18,20,20,18,17,15,19,14
7,12,13,18,20,18,20,20,18,17,14,19,14
7,12,13,17,19,18,20,20,18,16,14,19,14
7,12,13,17,19,18,20,19,18,16,14,19,14
7,12,13,17,19,18,20,19,17,16,14,18,13
7,12,13,17,19,18,20,19,17,15,14,18,13
7,12,13,17,19,18,20,18,17,15,14,18,13
7,12,13,17,19,18,19,18,17,15,14,18,13
7,12,13,17,19,17,19,18,16,15,14,18,13
7,12,13,17,19,17,19,17,16,15,14,18,13
7,12,13,17,19,17,19,17,15,15,14,18,12
7,12,13,17,18,17,19,17,15,15,14,18,12
7,12,12,16,18,17,19,17,15,15,14,17,12
7,11,12,16,18,17,19,16,15,15,14,17,12
7,11,12,16,18,16,18,16,15,15,14,17,12
7,11,12,16,17,16,18,16,15,14,13,17,12
7,11,12,16,17,16,18,16,14,14,13,17,12
7,11,12,15,17,16,18,16,14,14,13,17,12
7,11,12,15,17,16,17,16,14,14,13,16,12
7,11,12,15,17,16,17,16,14,14,13,16,12
7,11,12,15,16,16,17,15,14,14,13,16,12
7,11,12,15,16,16,17,15,13,14,13,16,12
6,10,11,15,16,16,17,15,13,14,13,16,12
6,10,11,15,16,16,17,15,13,13,13,16,11
6,10,11,15,16,15,17,15,13,13,13,16,11
6,10,11,15,16,15,16,15,13,13,13,16,11
6,10,11,15,16,15,16,15,13,13,12,16,11
6,10,11,15,16,15,15,15,13,13,12,16,11
6,10,11,15,16,15,15,14,12,13,12,15,11
6,10,11,15,16,15,15,14,12,13,12,15,11
6,10,11,15,16,15,15,14,12,13,12,15,11
6,9,11,15,15,15,15,14,12,13,12,15,11
6,9,11,14,15,15,15,14,12,13,12,15,11
6,9,11,14,15,15,14,14,12,12,12,15,11
6,9,11,14,15,15,14,14,12,12,12,15,11
6,9,11,14,15,15,14,14,12,12,12,15,11
6,9,11,14,15,14,14,13,11,12,12,15,11
6,9,11,14,15,14,14,13,11,12,12,15,10
6,9,11,14,14,14,13,13,11,12,12,14,10
6,9,10,14,14,14,13,13,11,12,12,14,10
6,9,10,14,14,14,13,12,11,11,11,14,10
6,9,10,13,14,14,13,12,11,11,11,14,10
6,9,10,13,14,14,13,12,11,11,11,14,10
6,9,10,13,14,14,13,12,11,11,11,14,10
6,8,10,13,14,14,13,12,11,11,11,14,10
6,8,10,13,14,13,13,12,11,11,11,13,10
6,8,10,13,13,13,13,12,11,11,11,13,10
