"","x"
"1","44"
"2","121"
"3","40"
"4","103"
"5","215"
"6","236"
"7","113"
"8","214"
"9","109"
"10","169"
"11","55"
"12","221"
"13","53"
"14","167"
"15","158"
"16","136"
"17","247"
"18","105"
"19","188"
"20","56"
"21","31"
"22","210"
"23","12"
"24","187"
"25","130"
"26","70"
"27","30"
"28","129"
"29","139"
"30","249"
"31","9"
"32","239"
"33","192"
"34","218"
"35","145"
"36","8"
"37","16"
"38","84"
"39","230"
"40","98"
"41","95"
"42","135"
"43","110"
"44","163"
"45","211"
"46","43"
"47","172"
"48","144"
"49","100"
"50","88"
"51","2"
"52","28"
"53","90"
"54","184"
"55","125"
"56","97"
"57","19"
"58","71"
"59","104"
"60","164"
"61","196"
"62","10"
"63","1"
"64","124"
"65","133"
"66","37"
"67","170"
"68","248"
"69","87"
"70","241"
"71","199"
"72","154"
"73","156"
"74","108"
"75","34"
"76","25"
"77","160"
"78","213"
"79","232"
"80","204"
"81","203"
"82","212"
"83","178"
"84","123"
"85","207"
"86","197"
"87","208"
"88","141"
"89","132"
"90","202"
"91","38"
"92","205"
"93","101"
"94","201"
"95","161"
"96","222"
"97","77"
"98","148"
"99","185"
"100","117"
"101","81"
"102","75"
"103","94"
"104","50"
"105","176"
"106","17"
"107","42"
"108","20"
"109","137"
"110","179"
"111","177"
"112","22"
"113","6"
"114","7"
"115","57"
"116","149"
"117","52"
"118","39"
"119","49"
"120","36"
"121","21"
"122","175"
"123","223"
"124","47"
"125","122"
"126","173"
"127","165"
"128","82"
"129","166"
"130","35"
"131","193"
"132","242"
"133","138"
"134","233"
"135","162"
"136","79"
"137","54"
"138","74"
"139","60"
"140","0"
"141","216"
"142","46"
"143","68"
"144","23"
"145","5"
"146","26"
"147","157"
"148","114"
"149","111"
"150","92"
"151","72"
"152","73"
"153","245"
"154","89"
"155","18"
"156","64"
"157","93"
"158","150"
"159","159"
"160","237"
"161","4"
"162","11"
"163","65"
"164","62"
"165","27"
"166","194"
"167","183"
"168","174"
"169","51"
"170","86"
"171","147"
"172","168"
"173","238"
"174","224"
"175","112"
"176","155"
"177","240"
"178","171"
"179","151"
"180","59"
"181","85"
"182","126"
"183","83"
"184","48"
"185","29"
"186","45"
"187","63"
"188","225"
"189","226"
"190","119"
"191","146"
"192","67"
"193","99"
"194","78"
"195","217"
"196","41"
"197","80"
"198","76"
"199","61"
"200","198"
"201","33"
"202","190"
"203","181"
"204","153"
"205","152"
"206","219"
"207","182"
"208","14"
"209","15"
"210","96"
"211","209"
"212","69"
"213","116"
"214","243"
"215","24"
"216","186"
"217","91"
"218","180"
"219","127"
"220","143"
"221","13"
"222","128"
"223","142"
"224","244"
"225","107"
"226","58"
"227","229"
"228","200"
"229","120"
"230","189"
"231","191"
"232","131"
"233","231"
"234","66"
"235","106"
"236","228"
"237","195"
"238","3"
"239","246"
"240","235"
"241","140"
"242","32"
"243","102"
"244","118"
"245","115"
"246","227"
"247","220"
"248","206"
"249","134"
"250","234"
