chr	size
1	2811280
2	2463906
3	2443969
4	2441859
5	2001293
6	1968525
7	1881895
8	1794411
9	1755371
10	1738332
11	1729569
12	1718734
13	1709138
14	1676907
15	1674800
16	1629579
17	1620336
18	1619018
19	1593004
20	1570719
21	1527393
22	1521787
23	1521164
24	1456251
25	1440895
26	1435803
27	1416784
28	1408220
29	1399561
30	1389392
31	1384272
32	1376182
33	1376173
34	1369822
35	1368969
36	1365280
37	1364158
38	1363600
39	1359868
40	1346265
41	1330904
42	1327263
43	1324417
44	1323138
45	1321306
46	1314523
47	1310824
48	1302307
49	1301529
50	1258305
51	1245581
52	1228358
53	1220211
54	1219207
55	1205291
56	1182057
57	1169988
58	1158158
59	1151687
60	1146004
61	1142724
62	1142625
63	1134221
64	1123574
65	1122408
66	1101579
67	1098241
68	1087895
69	1086010
70	1072836
71	1071714
72	1062557
73	1060202
74	1053816
75	1041972
76	1036486
77	1033973
78	1032243
79	1030291
80	1023226
81	1014868
82	1014777
83	1012205
84	1007671
